id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_kubis,satuan,tahun,jenis_produksi
212,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020,kubis
213,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2020,kubis
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2020,kubis
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2020,kubis
216,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2020,kubis
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,620,TON,2021,kubis
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7842,TON,2021,kubis
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13749,TON,2021,kubis
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,66303,TON,2021,kubis
221,32,JAWA BARAT,3205,KABUPATEN GARUT,124378,TON,2021,kubis
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1019,TON,2021,kubis
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,496,TON,2021,kubis
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2035,TON,2021,kubis
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,TON,2021,kubis
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7325,TON,2021,kubis
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4623,TON,2021,kubis
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,14,TON,2021,kubis
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,257,TON,2021,kubis
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,266,TON,2021,kubis
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,TON,2021,kubis
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021,kubis
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2936,TON,2021,kubis
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,TON,2021,kubis
235,32,JAWA BARAT,3271,KOTA BOGOR,0,TON,2021,kubis
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,TON,2021,kubis
237,32,JAWA BARAT,3273,KOTA BANDUNG,14,TON,2021,kubis
238,32,JAWA BARAT,3274,KOTA CIREBON,0,TON,2021,kubis
239,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021,kubis
240,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2021,kubis
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,TON,2021,kubis
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,TON,2021,kubis
243,32,JAWA BARAT,3279,KOTA BANJAR,0,TON,2021,kubis
